,tx,ty,tz,PL,angle
0,0.002746,0.00021099999999999992,-0.0012950000000000001,6,5
0,0.0015250000000000003,0.000704,0.0003989999999999996,7,5
0,-0.00010300000000000039,0.0008560000000000001,0.0016929999999999998,8,5
0,0.002668,0.0016529999999999997,0.0014969999999999996,9,5
0,0.000686,0.000773,0.001045,10,5
0,0.0028080000000000006,0.0013759999999999998,0.0008809999999999998,11,5
0,0.0026850000000000003,-0.0005039999999999997,-0.002619,12,5
0,0.0010619999999999996,0.000665,0.0006090000000000002,13,5
0,0.0015759999999999997,0.0003340000000000001,-0.0003390000000000001,14,5
0,0.0031769999999999993,0.0010480000000000008,3.199999999999991e-05,15,5
0,0.0047090000000000005,0.003279,0.0033249999999999994,16,5
0,-7.699999999999992e-05,-0.000508,-0.0009210000000000004,17,5
0,-0.0016939999999999998,0.0026320000000000007,0.006054,18,5
0,0.0012959999999999994,-0.0014390000000000002,-0.003539,19,5
0,0.002504,0.002828,0.0038370000000000006,20,5
0,-0.000944,0.001218,0.002896,21,5
0,0.002456,-0.0016880000000000003,-0.004726999999999999,22,5
0,0.0010320000000000001,0.001166,0.0015809999999999993,23,5
0,0.0030179999999999994,0.0011200000000000001,0.000263,24,5
0,-0.00041300000000000104,0.0020080000000000002,0.004069,25,5
0,0.0028729999999999997,0.002307,0.0026189999999999994,26,5
0,-0.0011009999999999995,-0.0019199999999999996,-0.002973,27,5
0,0.002959,0.0013650000000000001,0.0007650000000000003,28,5
0,0.0027099999999999997,-9.500000000000003e-05,-0.0018520000000000001,29,5
0,0.006498,0.002854,0.001413,30,5
0,0.001904,0.0014210000000000002,0.0015259999999999998,31,5
0,-0.0012889999999999998,0.002419,0.005399,32,5
0,0.0011439999999999996,-0.001271,-0.003125,33,5
0,0.003333,0.0007040000000000002,-0.0007220000000000001,34,5
0,0.00013199999999999985,0.0007909999999999998,0.0014239999999999995,35,5
0,0.00525,8.199999999999993e-05,-0.0030889999999999997,36,5
0,8.70000000000006e-05,-0.0011219999999999997,-0.0021889999999999995,37,5
0,0.0019559999999999994,0.0009649999999999999,0.000621,38,5
0,0.000709,0.0016659999999999997,0.00273,39,5
0,0.0013980000000000004,0.00024599999999999996,-0.0003960000000000002,40,5
0,-0.003672000000000001,0.000282,0.0028120000000000003,41,5
0,0.00362,0.0010389999999999998,-0.00026199999999999986,42,5
0,0.002959,0.0012380000000000004,0.0005199999999999998,43,5
0,0.0008900000000000003,-0.00013399999999999984,-0.0008079999999999998,44,5
0,0.002965,0.001955,0.001887,45,5
